candidate_id,paper_title,year,doi,official_url_1,official_url_2,official_url_3,official_url_4,official_url_5,official_url_6,official_url_7,official_url_8,official_url_9,official_url_10,official_url_11,official_url_12
pending-ref-163,Neighborhood Preserving Embedding Proc,2005,,https://doi.org/10.1021/ci025631m,https://pubmed.ncbi.nlm.nih.gov/12653511,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Neighborhood%20Preserving%20Embedding%20Proc,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Neighborhood%20Preserving%20Embedding%20Proc,https://dl.acm.org/action/doSearch?AllField=Neighborhood%20Preserving%20Embedding%20Proc,,,,,,
pending-ref-172,Agreement Analysis of Quality Measures for Dimensionality Reduction,2017,10.1007/978-3-319-44684-4_6,https://doi.org/10.1007/978-3-319-44684-4_6,http://link.springer.com/content/pdf/10.1007/978-3-319-44684-4_6,http://www.jclinepi.com/article/S0895435606001740/pdf,https://pubmed.ncbi.nlm.nih.gov/17161752,https://research.vu.nl/en/publications/91e6bfa3-184f-4354-8cb1-10671000b230,http://hdl.handle.net/1871.1/825011ba-c36d-49ff-ad71-9f99b1348395,https://research.vu.nl/en/publications/825011ba-c36d-49ff-ad71-9f99b1348395,https://research.vumc.nl/en/publications/3fe2f308-1bb5-48f9-aae9-f285d9a895a0,https://scholar.google.com/scholar?q=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,https://dl.acm.org/action/doSearch?AllField=Agreement%20Analysis%20of%20Quality%20Measures%20for%20Dimensionality%20Reduction,
pending-ref-174,Quality-based guidance for exploratory dimensionality reduction,2013,10.1177/1473871612460526,https://doi.org/10.1177/1473871612460526,https://journals.sagepub.com/doi/pdf/10.1177/1473871612460526,https://journals.sagepub.com/doi/full-xml/10.1177/1473871612460526,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://scholar.google.com/scholar?q=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,https://dl.acm.org/action/doSearch?AllField=Quality-based%20guidance%20for%20exploratory%20dimensionality%20reduction,,,,,
pending-ref-178,Random-projection-based dimensionality reduction and decision fusion for hyperspectral target detection,2011,,https://doi.org/10.1109/igarss.2011.6049468,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-021-00444-8,https://pubmed.ncbi.nlm.nih.gov/33816053,https://doaj.org/article/bdd5bd1947654336a8e41fd116cd6481,https://www.ncbi.nlm.nih.gov/pmc/articles/8010506,https://scholar.google.com/scholar?q=Random-projection-based%20dimensionality%20reduction%20and%20decision%20fusion%20for%20hyperspectral%20target%20detection,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Random-projection-based%20dimensionality%20reduction%20and%20decision%20fusion%20for%20hyperspectral%20target%20detection,https://dl.acm.org/action/doSearch?AllField=Random-projection-based%20dimensionality%20reduction%20and%20decision%20fusion%20for%20hyperspectral%20target%20detection,,,,
pending-ref-179,Clustered Nyström method for large scale manifold learning and dimension reduction,2010,,https://doi.org/10.1109/tnn.2010.2064786,https://pubmed.ncbi.nlm.nih.gov/20805054,http://repository.hkust.edu.hk/ir/Record/1783.1-39856,https://scholar.google.com/scholar?q=Clustered%20Nystr%C3%B6m%20method%20for%20large%20scale%20manifold%20learning%20and%20dimension%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Clustered%20Nystr%C3%B6m%20method%20for%20large%20scale%20manifold%20learning%20and%20dimension%20reduction,https://dl.acm.org/action/doSearch?AllField=Clustered%20Nystr%C3%B6m%20method%20for%20large%20scale%20manifold%20learning%20and%20dimension%20reduction,,,,,,
pending-ref-180,iVisClassiﬁer: An interactive visual analytics system for classiﬁcation based on supervised dimension reduction,2010,,https://scholar.google.com/scholar?q=iVisClassi%EF%AC%81er%3A%20An%20interactive%20visual%20analytics%20system%20for%20classi%EF%AC%81cation%20based%20on%20supervised%20dimension%20reduction,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=iVisClassi%EF%AC%81er%3A%20An%20interactive%20visual%20analytics%20system%20for%20classi%EF%AC%81cation%20based%20on%20supervised%20dimension%20reduction,https://dl.acm.org/action/doSearch?AllField=iVisClassi%EF%AC%81er%3A%20An%20interactive%20visual%20analytics%20system%20for%20classi%EF%AC%81cation%20based%20on%20supervised%20dimension%20reduction,,,,,,,,,
pending-ref-182,Semideﬁnite embedding for the dimensionality reduction of DNA microarray data,2006,,https://scholar.google.com/scholar?q=Semide%EF%AC%81nite%20embedding%20for%20the%20dimensionality%20reduction%20of%20DNA%20microarray%20data,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Semide%EF%AC%81nite%20embedding%20for%20the%20dimensionality%20reduction%20of%20DNA%20microarray%20data,https://dl.acm.org/action/doSearch?AllField=Semide%EF%AC%81nite%20embedding%20for%20the%20dimensionality%20reduction%20of%20DNA%20microarray%20data,,,,,,,,,
pending-ref-185,Super-resolution through neighbor embedding,2004,,https://doi.org/10.1109/cvpr.2004.1315043,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.102.3532,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.78.4611,https://doi.org/10.1016/j.patrec.2008.11.008,https://scholar.google.com/scholar?q=Super-resolution%20through%20neighbor%20embedding,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Super-resolution%20through%20neighbor%20embedding,https://dl.acm.org/action/doSearch?AllField=Super-resolution%20through%20neighbor%20embedding,,,,,
pending-ref-187,Random projection in dimensionality reduction: applications to image and text data Proc,2001,,https://dl.acm.org/doi/pdf/10.1145/331499.331504,https://dl.acm.org/doi/pdf/10.1145/324133.324140,https://scholar.google.com/scholar?q=Random%20projection%20in%20dimensionality%20reduction%3A%20applications%20to%20image%20and%20text%20data%20Proc,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=Random%20projection%20in%20dimensionality%20reduction%3A%20applications%20to%20image%20and%20text%20data%20Proc,https://dl.acm.org/action/doSearch?AllField=Random%20projection%20in%20dimensionality%20reduction%3A%20applications%20to%20image%20and%20text%20data%20Proc,,,,,,,
